Buenas,
Este es un df par el proyecto. Es toda la estadistica de la liga española de fútbol de la temporada 22/23, pero lo que voy a hacer es tambien con los mismos df de las temporadas 21/22 y 20/21.
Este df esta "sucio", de aquí voy a quitar muchas columnas y añadiré algunas otras para el proyecto.
En el proyecto en si voy a hacer un analisis sobre la influencia de la posesion de balón en el juego, para ello crearé una nueva columna "Posesion Value". Además añadiré otra df con los jugadores de las 5 grandes ligas
y buscaré similitudes en jugadores para la realización de algún posible fichaje. En definitiva, el proyecto me gustaría enfocarlo como si se lo presentase a un director deportivo, ofreciendole diferentes posibilidades 
de mejora para el equipo  en función de su "modelo de juego".



RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Asistencia,Máximo Goleador del Equipo,Portero,Notas,"('Local', 'local_PJ')","('Local', 'local_PG')","('Local', 'local_PE')","('Local', 'local_PP')","('Local', 'local_GF')","('Local', 'local_GC')","('Local', 'local_DG')","('Local', 'local_Pts')","('Local', 'local_Pts/PJ')","('Local', 'local_xG')","('Local', 'local_xGA')","('Local', 'local_xGD')","('Local', 'xGD/90')","('Visitante', 'vis_PJ')","('Visitante', 'vis_PG')","('Visitante', 'vis_PE')","('Visitante', 'vis_PP')","('Visitante', 'vis_GF')","('Visitante', 'vis_GC')","('Visitante', 'vis_DG')","('Visitante', 'vis_Pts')","('Visitante', 'vis_Pts/PJ')","('Visitante', 'vis_xG')","('Visitante', 'vis_xGA')","('Visitante', 'vis_xGD')","('Visitante', 'xGD/90')",PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Equipo,PL,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Equipo,PL,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Equipo,PL,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Equipo,PL,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Equipo,PL,Pos.,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
17,Almería,38,11,8,19,49,65,-16,41,1.08,45.5,62.5,-17.0,-0.45,12961,El Bilal Touré - 7,Fernando,,19,10,3,6,29,22,7,33,1.74,26.1,26.8,-0.7,-0.04,19,1,5,13,20,43,-23,8,0.42,19.4,35.7,-16.3,-0.86,35,28.7,52.6,38,418,3420,38.0,47,31,78,43,4,5,120,13,46.3,42.4,32.0,74.5,558,1513,1.24,0.82,2.05,1.13,1.95,1.22,0.84,2.06,1.12,1.96,Sevilla,2,38,38,3420,38.0,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3,Sevilla,35,38.0,47,463,141,30.5,12.18,3.71,0.09,0.3,18.1,17,4,5,46.3,42.4,0.09,0.7,0.6,Sevilla,35,38.0,15379,19193,80.1,273953,95369,7106,7918,89.7,6324,7354,86.0,1599,2958,54.1,31,32.0,34.0,-1.0,341,1230,302,95,1513,Sevilla,35,38.0,837,22.03,640,74,26,41,39,17,82,2.16,56,8,7,6,5,0,Sevilla,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13542,67133,32550,558,520,122,515,312,15242,1497
8,Athletic Club,38,14,9,15,47,43,4,51,1.34,54.2,36.9,17.3,0.46,43488,"Iñaki Williams, Oihan Sancet - 10",Unai Simón,,19,8,3,8,22,15,7,27,1.42,26.2,15.0,11.2,0.59,19,6,6,7,25,28,-3,24,1.26,28.0,21.9,6.2,0.32,32,28.3,45.5,38,418,3420,38.0,30,21,51,26,4,5,99,12,37.5,33.6,27.1,60.7,561,1197,0.79,0.55,1.34,0.68,1.24,0.99,0.71,1.7,0.88,1.6,Elche,2,38,38,3420,38.0,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0,Elche,32,38.0,30,400,124,31.0,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,Elche,32,38.0,12051,15758,76.5,218542,87460,5427,6202,87.5,4762,5677,83.9,1477,2793,52.9,21,27.1,26.2,-6.1,313,941,211,82,1197,Elche,32,38.0,726,19.11,495,103,47,37,33,11,54,1.42,36,7,0,4,5,2,Elche,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185
3,Atlético Madrid,38,23,8,7,70,33,37,77,2.03,62.3,41.3,20.9,0.55,55800,Antoine Griezmann - 15,Jan Oblak,→ Champions League Por el final de liga,19,13,3,3,41,15,26,42,2.21,34.3,17.4,16.8,0.89,19,10,5,4,29,18,11,35,1.84,28.0,23.9,4.1,0.22,27,28.5,50.6,38,418,3420,38.0,68,51,119,67,1,1,92,8,62.3,61.5,48.5,110.0,730,1571,1.79,1.34,3.13,1.76,3.11,1.64,1.28,2.91,1.62,2.89,Atlético Madrid,3,38,38,3420,38.0,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0,Atlético Madrid,27,38.0,68,538,195,36.2,14.16,5.13,0.12,0.34,17.0,9,1,1,62.3,61.5,0.12,5.7,5.5,Atlético Madrid,27,38.0,16814,20488,82.1,277627,101839,8616,9432,91.3,6028,7038,85.6,1549,2765,56.0,51,48.5,40.0,2.5,418,1200,335,68,1571,Atlético Madrid,27,38.0,958,25.21,756,59,47,51,32,13,116,3.05,82,7,9,13,3,2,Atlético Madrid,27,50.6,38.0,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67404,35788,730,473,200,486,277,16705,1557
1,Barcelona,38,28,4,6,70,20,50,88,2.32,75.5,33.2,42.3,1.11,83498,Robert Lewandowski - 23,Marc-André ter Stegen,→ Champions League Por el final de liga,19,15,3,1,37,4,33,48,2.53,43.1,13.3,29.7,1.56,19,13,1,5,33,16,17,40,2.11,32.4,19.8,12.6,0.66,29,26.4,45.1,38,418,3420,38.0,49,33,82,47,2,3,98,4,45.5,43.2,32.5,75.6,569,1090,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,Almería,3,38,38,3420,38.0,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0,Almería,29,38.0,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,Almería,29,38.0,12151,15855,76.6,225475,89276,5232,6003,87.2,5084,6022,84.4,1512,2911,51.9,33,32.5,28.1,0.5,316,846,218,81,1090,Almería,29,38.0,758,19.95,533,73,51,51,33,17,76,2.0,51,7,8,7,3,0,Almería,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080
6,Betis,38,17,9,12,46,41,5,60,1.58,51.3,50.0,1.3,0.03,49635,Borja Iglesias - 15,Rui Silva,→ Europa League Por el final de liga,19,9,5,5,26,18,8,32,1.68,27.0,22.2,4.8,0.25,19,8,4,7,20,23,-3,28,1.47,24.4,27.8,-3.5,-0.18,38,29.1,41.9,38,418,3420,38.0,29,20,49,25,4,5,116,7,41.6,37.7,27.8,65.5,475,969,0.76,0.53,1.29,0.66,1.18,1.09,0.73,1.82,0.99,1.72,Cádiz,2,38,38,3420,38.0,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0,Cádiz,38,38.0,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.6,37.7,0.1,-12.6,-12.7,Cádiz,38,38.0,9940,13952,71.2,190101,78677,4341,5147,84.3,3874,4864,79.6,1452,3117,46.6,20,27.8,24.7,-7.8,269,830,192,93,969,Cádiz,38,38.0,663,17.45,461,69,36,42,38,17,49,1.29,32,2,8,5,2,0,Cádiz,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960
13,Celta Vigo,38,11,10,17,43,53,-10,43,1.13,42.8,45.5,-2.8,-0.07,14425,Iago Aspas - 12,"Agustín Marchesín, Iván Villar",,19,7,6,6,26,21,5,27,1.42,22.1,17.8,4.3,0.22,19,4,4,11,17,32,-15,16,0.84,20.7,27.7,-7.0,-0.37,26,27.5,48.0,38,418,3420,38.0,36,30,66,32,4,5,93,7,39.4,35.5,28.2,63.7,545,1356,0.95,0.79,1.74,0.84,1.63,1.04,0.74,1.78,0.93,1.68,Osasuna,2,38,38,3420,38.0,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0,Osasuna,26,38.0,36,441,133,30.2,11.61,3.5,0.07,0.24,18.7,7,4,5,39.4,35.5,0.08,-3.4,-3.5,Osasuna,26,38.0,12725,16835,75.6,242236,95597,5565,6377,87.3,5130,6255,82.0,1759,3323,52.9,30,28.2,31.7,1.8,322,1140,271,114,1356,Osasuna,26,38.0,779,20.5,564,77,53,41,30,14,69,1.82,53,7,0,5,4,0,Osasuna,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,50.0,247,39.5,11200,58263,28888,545,416,128,590,316,12580,1338
14,Cádiz,38,10,12,16,30,53,-23,42,1.11,41.6,61.4,-19.9,-0.52,17741,"Theo Bongonda, Gonzalo Escalante - 4",Jeremías Ledesma,,19,7,6,6,19,23,-4,27,1.42,22.0,27.5,-5.5,-0.29,19,3,6,10,11,30,-19,15,0.79,19.6,34.0,-14.4,-0.76,28,27.9,51.2,38,418,3420,38.0,41,29,70,37,4,8,90,6,43.9,37.8,30.0,67.8,703,1390,1.08,0.76,1.84,0.97,1.74,1.16,0.79,1.95,0.99,1.78,Rayo Vallecano,2,38,38,3420,38.0,53,1.39,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0,Rayo Vallecano,28,38.0,41,510,146,28.6,13.42,3.84,0.07,0.25,20.6,24,4,8,43.9,37.8,0.08,-2.9,-0.8,Rayo Vallecano,28,38.0,13497,17666,76.4,251321,91899,5811,6629,87.7,5654,6716,84.2,1717,3329,51.6,29,30.0,29.7,-1.0,386,1247,269,102,1390,Rayo Vallecano,28,38.0,881,23.18,651,77,43,40,46,24,69,1.82,50,5,6,3,4,1,Rayo Vallecano,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377
20,Elche,38,5,10,23,30,67,-37,25,0.66,37.5,70.0,-32.6,-0.86,19875,Lucas Boyé - 7,Édgar Badía,Descendido,19,3,6,10,18,29,-11,15,0.79,24.4,29.3,-4.9,-0.26,19,2,4,13,12,38,-26,10,0.53,13.1,40.7,-27.6,-1.45,32,28.4,56.9,38,418,3420,38.0,57,33,90,53,4,7,91,4,61.6,56.1,43.2,99.3,846,1622,1.5,0.87,2.37,1.39,2.26,1.62,1.14,2.76,1.48,2.61,Villarreal,3,38,38,3420,38.0,40,1.05,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0.0,Villarreal,32,38.0,57,499,188,37.7,13.13,4.95,0.11,0.28,18.0,22,4,7,61.6,56.1,0.12,-4.6,-3.1,Villarreal,32,38.0,16634,19862,83.7,295552,101196,7381,8147,90.6,7101,7924,89.6,1743,2737,63.7,33,43.2,38.3,-10.2,374,1304,349,52,1622,Villarreal,32,38.0,884,23.26,665,45,73,53,40,8,89,2.34,59,2,13,11,4,0,Villarreal,32,56.9,38.0,23817,2621,7659,10215,6180,911,23810,880,435,49.4,345,39.2,14392,81466,45470,846,570,239,552,343,16363,1617
19,Espanyol,38,8,13,17,52,69,-17,37,0.97,48.3,59.8,-11.5,-0.3,21601,Joselu - 16,Fernando Pacheco,Descendido,19,4,7,8,27,35,-8,19,1.0,29.8,26.6,3.2,0.17,19,4,6,9,25,34,-9,18,0.95,18.5,33.2,-14.7,-0.77,36,27.4,48.7,38,418,3420,38.0,32,24,56,29,3,4,94,6,38.6,35.5,28.4,63.9,610,1244,0.84,0.63,1.47,0.76,1.39,1.02,0.75,1.76,0.93,1.68,Valladolid,3,38,38,3420,38.0,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3,Valladolid,36,38.0,32,443,137,30.9,11.66,3.61,0.07,0.21,19.6,19,3,4,38.6,35.5,0.08,-6.6,-6.5,Valladolid,36,38.0,12627,16425,76.9,238766,87767,5273,6049,87.2,5251,6199,84.7,1734,3141,55.2,24,28.4,24.4,-4.4,324,969,223,92,1244,Valladolid,36,38.0,792,20.84,581,77,39,36,46,13,59,1.55,40,6,4,4,5,0,Valladolid,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,43.0,318,44.3,11499,64338,32319,610,451,147,589,316,12521,1233
15,Getafe,38,10,12,16,34,45,-11,42,1.11,36.7,46.0,-9.4,-0.25,11592,Enes Ünal - 14,David Soria,,19,7,6,6,21,20,1,27,1.42,24.0,22.1,1.8,0.1,19,3,6,10,13,25,-12,15,0.79,12.7,23.9,-11.2,-0.59,26,27.4,60.9,38,418,3420,38.0,73,56,129,64,9,12,72,3,75.5,66.1,56.8,122.9,1008,2017,1.92,1.47,3.39,1.68,3.16,1.99,1.49,3.48,1.74,3.23,Real Madrid,2,38,38,3420,38.0,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0,Real Madrid,26,38.0,73,634,206,32.5,16.68,5.42,0.1,0.31,18.6,32,9,12,75.5,66.1,0.11,-2.5,-2.1,Real Madrid,26,38.0,22082,25012,88.3,357586,113878,11462,12245,93.6,8069,8810,91.6,1812,2595,69.8,56,56.8,56.6,-0.8,522,1880,384,50,2017,Real Madrid,26,38.0,1194,31.42,894,85,88,52,67,8,134,3.53,95,5,15,8,10,1,Real Madrid,26,60.9,38.0,28884,2415,7781,12859,8464,1151,28872,971,475,48.9,379,39.0,19025,100381,53186,1008,735,338,490,297,21956,2000
